Date ,Crude Temp In ,Crude Temp Out ,"CDU1 rate  
(KBPD)",Crude Flow rate (kg/hr),Kero Temp In ,Kero Temp Out ,Kero Flow m3/hr ,Furnace inlet temp (deg C),Crude Temp Increase, Kero Temp decrease,Q (heat exchanged) MW,Hot-in - Cold-out,Hot-out -Cold-in,LMTD,U transfer rate,Cummulative Flow Tones per day,Fouling Resistance
27-08-2012,153.0925397,172.1184,103.026,471220.3603,273.0702434,203.8835,146.0981,200.7871,19.02586658,69.186789,6.524801207,100.951837,50.79091463,73.02230343,160.3616988,844436.1823,0.006235903
28-08-2012,152.3178776,171.0798,102.9435,470842.9657,272.555486,203.1013,143.1304,199.1134,18.76187655,69.45416559,6.429114361,101.4757318,50.78344281,73.22837144,157.5653315,855736.4135,0.006346574
29-08-2012,147.8866033,163.5982,100.8301,461176.8729,257.897513,188.6456,122.5103,192.8218,15.71159834,69.25187378,5.273350991,94.29931136,40.75903592,63.82988746,148.2693871,866804.6584,0.006744481
30-08-2012,146.7006359,161.1908,100.7598,460855.1736,251.9004389,184.3658,116.2841,190.4267,14.49015645,67.53461616,4.860000708,90.70964656,37.66518685,60.35135065,144.5234202,877865.1826,0.006919294
31-08-2012,145.3444279,160.4866,101.2194,462957.3157,253.4683261,185.4571,119.5157,190.4269,15.14218406,68.01120138,5.101856778,92.98171415,40.11269683,62.88615717,145.6002424,888976.1581,0.00686812
01-09-2012,142.756503,157.3398,101.1542,462658.931,247.8336113,182.2078,120.7045,187.2109,14.58329334,65.62584323,4.910382826,90.49381499,39.4512651,61.48109331,143.3384363,900079.9725,0.006976496
02-09-2012,143.1272376,158.0125,101.3986,463776.7857,249.202059,184.6022,125.9044,187.0013,14.88527895,64.59987479,5.024175189,91.18954245,41.47494661,63.10154625,142.893892,911210.6153,0.0069982
03-09-2012,146.1355351,164.3628,102.3409,468086.8123,263.1208153,198.039,149.1473,192.9447,18.22729382,65.08178696,6.209367878,98.75798637,51.90349323,72.83615687,152.9992353,922444.6988,0.00653598
04-09-2012,146.4518438,166.2113,102.6699,469591.3904,269.8643122,204.2408,158.6042,194.8481,19.75949226,65.62354563,6.752968084,103.6529762,57.78892279,78.50053946,154.3870782,933714.8922,0.006477226
05-09-2012,145.9651931,165.8032,102.824,470296.5039,270.2642032,204.841,158.6839,194.8979,19.83805426,65.42322502,6.789997503,104.4609558,58.87578508,79.50206424,153.2780977,945002.0083,0.006524089
06-09-2012,147.4484768,166.2762,100.8246,461151.4243,269.3812633,207.0291,165.5612,191.8908,18.82775948,62.35212118,6.318892785,103.105027,59.58066533,79.36362106,142.8921609,956069.6425,0.006998285
07-09-2012,149.5701373,167.4677,100.1753,458182.0132,269.1685015,206.1788,153.1058,199.226,17.89755709,62.98970645,5.968024306,101.7008071,56.6086577,76.96570092,139.1625079,967066.0108,0.007185843
08-09-2012,150.0953542,166.8593,100.5667,459972.1681,265.9044564,204.6096,149.0636,198.946,16.76391609,61.29485321,5.611847016,99.04518614,54.51424901,74.57693685,135.0486273,978105.3428,0.00740474
09-09-2012,153.1744355,170.7177,101.1002,462412.0882,271.3693751,209.9098,154.6698,203.7173,17.54326025,61.45956573,5.903890246,100.6516793,56.73537381,76.60694442,138.3117344,989203.233,0.007230045
10-09-2012,153.5576774,171.5581,100.4478,459428.2535,271.437538,210.0507,155.2098,204.4155,18.00043021,61.3868399,6.018653968,99.87943046,56.49302077,76.13699057,141.8706507,1000229.511,0.007048674
11-09-2012,152.7483103,167.7983,96.991,443617.4494,258.1091648,195.3334,126.5939,196.4123,15.049992,62.77573195,4.858963987,90.31086253,42.58512258,63.48594989,137.3583137,1010876.33,0.007280229
12-09-2012,147.723871,160.2847,97.7885,447264.9215,247.7377624,178.5535,99.973,191.1072,12.5608456,69.18428825,4.088674201,87.45304575,30.82960309,54.30845454,135.1151208,1021610.688,0.007401096
13-09-2012,145.3008054,157.881,100.534,459822.5037,246.3691424,178.7731,109.3575,186.4861,12.58016696,67.59606032,4.209935259,88.48817009,33.47227672,56.59190223,133.5088384,1032646.428,0.007490141
14-09-2012,147.3626908,162.4793,100.5173,459746.1383,255.6798905,190.0319,129.0549,191.0085,15.11659159,65.64796523,5.057906077,93.20060814,42.66923451,64.67799835,140.3469832,1043680.335,0.007125198
15-09-2012,147.4558611,161.5198,99.9583,457189.2154,251.4287908,186.6317,119.633,190.3689,14.06396879,64.79705111,4.679534589,89.90896095,39.17587863,61.0700127,137.5192654,1054652.877,0.007271708
16-09-2012,150.3272089,169.4582,100.3295,458887.2687,271.5696792,206.7891,157.4373,200.3171,19.13098837,64.78055012,6.389137096,102.1114819,56.46192013,77.04583701,148.8270666,1065666.171,0.006719208
17-09-2012,150.1593354,169.1272,101.6179,464779.9413,271.4487499,205.8729,156.7175,199.922,18.9679102,65.5758037,6.41601916,102.3215043,55.71361083,76.67091218,150.1840854,1076820.89,0.006658495
18-09-2012,149.7942269,166.9797,101.258,463133.7785,266.3598898,199.226,139.7927,198.7807,17.1855198,67.13386428,5.792525046,99.38014317,49.43179869,71.52250715,145.3496809,1087936.1,0.00687996
19-09-2012,149.8208268,167.588,101.2223,462970.7453,267.1416687,200.8409,143.2615,199.121,17.76718438,66.30078509,5.986471911,99.55365747,51.02005676,72.60314435,147.9804731,1099047.398,0.006757648
20-09-2012,148.7558103,163.984,101.9637,466361.6855,260.4388106,193.5065,128.5891,194.3238,15.228142,66.93229382,5.168548213,96.45485833,44.75070652,67.32593038,137.7764849,1110240.079,0.007258133
21-09-2012,146.7163202,162.8218,101.7865,465551.3031,262.0318057,194.8796,134.2694,192.9469,16.10543404,67.15221916,5.456809226,99.21005141,48.16326629,70.63903664,138.6381949,1121413.31,0.007213019
22-09-2012,145.5837666,162.7867,102.4336,468510.9369,264.899024,198.3479,142.5655,193.0365,17.20288942,66.55111149,5.865701005,102.112368,52.76414591,74.74263364,140.8446702,1132657.572,0.00710002
23-09-2012,146.0784533,163.937,102.0094,466570.3882,267.0965637,201.6651,148.3213,193.2072,17.85853943,65.43149774,6.064037795,103.159571,55.58661273,76.9372377,141.4536643,1143855.262,0.007069453
24-09-2012,147.360679,166.1058,99.841,456652.7688,271.9428273,207.3978,153.0117,196.3054,18.74514524,64.54497755,6.229794135,105.8370031,60.0371708,80.78479128,138.399009,1154814.928,0.007225485
25-09-2012,151.2530458,168.4105,99.5737,455430.3756,271.6181981,206.0146,141.3146,198.1994,17.15747173,65.60355677,5.68688015,103.2076805,54.7615955,76.44302758,133.5134717,1165745.257,0.007489881
26-09-2012,150.1218168,166.5799,102.4026,468368.9242,268.3938944,201.8197,136.6756,195.3416,16.45812604,66.57422919,5.610056649,101.8139515,51.69784838,73.94689728,136.1558114,1176986.111,0.007344527
27-09-2012,150.181275,166.5543,102.7399,469911.719,266.7585675,202.0998,136.8398,195.228,16.37300173,64.65872184,5.599424255,100.2042907,51.91857062,73.43450796,136.8459904,1188263.993,0.007307485
28-09-2012,147.3011723,161.87,100.4889,459616.0982,259.3318995,196.0841,131.4433,189.9713,14.56879054,63.24782952,4.873236872,97.46193669,48.78289771,70.3370857,124.3432011,1199294.779,0.008042257
29-09-2012,148.4923607,163.3446,99.9057,456948.5959,257.5958462,198.265,139.7837,190.9813,14.85224498,59.33081209,4.939218534,94.25124049,49.77267337,69.66126024,127.2494187,1210261.545,0.007858582
30-09-2012,153.1745818,169.5229,100.8082,461076.6701,267.8602539,209.9779,158.1533,196.9282,16.34826856,57.88239528,5.485847139,98.33740358,56.80327686,75.68027755,130.0917866,1221327.385,0.00768688
01-10-2012,156.5489235,175.1898,99.1971,453707.683,276.8849156,217.547,160.763,203.8322,18.64083331,59.33794489,6.155172762,101.6951588,60.99804724,79.62061844,138.7406078,1232216.37,0.007207695
02-10-2012,156.0538946,173.8817,99.3564,454436.5127,274.7304207,214.4779,151.9695,203.0155,17.82777128,60.25247857,5.896157318,100.8487549,58.42404758,77.71596853,136.1594195,1243122.846,0.007344332
03-10-2012,155.7482102,172.8437,99.9728,457255.4434,273.0820988,211.73,145.702,202.176,17.09548704,61.35213699,5.68904217,100.2384016,55.98175161,75.97374373,134.3892461,1254096.977,0.007441072
04-10-2012,150.4766833,165.2563,100.1252,457952.5956,260.5249038,195.8232,122.2991,194.5114,14.77965842,64.70173656,4.92587869,95.2685621,45.34648395,67.24714682,131.461548,1265087.839,0.007606787
05-10-2012,148.2187157,161.0017,99.1525,453503.5793,251.6256507,187.4503,111.3928,190.644,12.78295192,64.1753015,4.219011071,90.62398314,39.23163356,61.38338619,123.3527156,1275971.925,0.008106834
06-10-2012,151.1766383,167.0196,100.8693,461355.8661,265.6260206,203.9636,140.3198,196.1949,15.84294012,61.66246161,5.319497613,98.60644224,52.78692075,73.32611669,130.1969543,1287044.466,0.007680671
