No. of obs,Cluster no., KWH   ,,,,,,,,,,,
680,2,0.0042,,,,,,,,,,,
681,2,0.0043,,,,,,,,,,,
682,2,0.004,,,,,,,,,,,
683,2,0.0046,,,,,,,,,,,
684,2,0.0037,,,,,,,,,,,
685,2,0.0044,,,,,,,,,,,
686,2,0.0045,,,,,,,,,,,
687,2,0.0041,,,,,,,,,,,
688,2,0.0107,,,,,,,,,,,
689,2,0.0125,,,,,,,,,,,
690,2,0.0118,,,,,,,,,,,
691,2,0.0084,,,,,,,,,,,
692,2,0.0079,,,,,,,,,,,
693,2,0.0087,,,,,,,,,,,
694,2,0.0083,,,,,,,,,,,
695,2,0.0104,,,,,,,,,,,
